Average operating time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
31939.8,96.4484,72.542,151.979,160.711
31939.9,105.801,76.0156,145.623,159.013
31940.1,105.801,79.3959,145.623,157.412
31940.1,105.801,82.7627,145.623,155.571
31940.1,114.736,86.1552,138.692,153.675
31940.2,114.736,89.4201,138.692,151.841
31940.3,114.736,92.7051,138.692,149.777
31940.3,114.736,96.0058,138.692,147.673
31940.4,123.218,99.1373,131.214,145.921
31940.5,123.218,102.036,131.214,144.392
31940.6,123.218,104.801,131.214,142.798
31940.6,131.214,107.642,123.218,140.945
31940.6,131.214,110.374,123.218,138.81
31940.8,131.214,113.098,123.218,136.444
31940.8,138.692,115.896,114.735,134.017
31940.9,138.692,118.567,114.735,131.678
31941,138.692,121.265,114.735,129.1
31941,145.623,124.016,105.8,126.524
31941.1,145.623,126.606,105.8,123.986
31941.2,145.623,129.238,105.8,121.254
31941.3,151.979,131.863,96.448,118.471
31941.4,151.979,134.347,96.448,115.802
31941.5,151.979,136.841,96.448,112.883
31941.5,157.735,139.34,86.7153,109.98
31941.6,157.735,141.695,86.7153,107.142
31941.7,157.735,144.032,86.7153,104.094
31941.7,162.869,146.346,76.64,101.037
31941.8,162.869,148.479,76.64,98.0646
31941.9,162.869,150.627,76.64,94.867
31942,162.869,152.761,76.64,91.7001
31942,167.359,154.676,66.2613,88.8201
31942.1,167.359,156.355,66.2613,86.1819
31942.2,167.359,157.91,66.2613,83.4465
31942.3,171.19,159.513,55.6219,80.5606
31942.4,171.19,161.038,55.6219,77.6273
31942.5,171.19,162.602,55.6219,74.4332
31942.5,174.345,164.188,44.7633,71.2036
31942.6,174.345,165.636,44.7633,68.045
31942.7,174.345,167.03,44.7633,64.6471
31942.7,176.811,168.394,33.728,61.2409
31942.8,176.811,169.615,33.728,57.9283
31942.9,176.811,170.804,33.728,54.3905
31942.9,178.581,171.978,22.5588,50.8682
31943.4,178.581,172.974,22.5588,47.4169
31943.1,178.581,173.874,22.5588,43.7428
31943.1,179.644,174.771,11.3019,40.0877
31943.1,179.644,175.532,11.3019,36.5701
31943.2,179.644,176.262,11.3019,32.8486
31943.2,180,176.96,0,29.1639
31943.3,180,177.493,0,25.5668
31943.3,180,177.992,0,21.8987
31943.5,179.644,178.394,-11.3019,18.157
31943.5,179.644,178.69,-11.3019,14.547
31943.5,179.644,178.857,-11.3019,10.7295
31943.6,179.644,179.002,-11.3019,6.99733
31943.6,178.581,179.126,-22.5588,3.60059
31943.7,178.581,179.204,-22.5588,0.41837
31943.8,178.581,179.175,-22.5588,-2.83733
31943.8,176.811,179.068,-33.728,-6.14281
31943.9,176.811,178.965,-33.728,-9.47081
31944,176.811,178.738,-33.728,-13.0477
31944,174.345,178.368,-44.7633,-16.5476
31944.1,174.345,178.022,-44.7633,-19.981
31944.2,174.345,177.624,-44.7633,-23.6444
31944.2,171.19,177.072,-55.6219,-27.2237
31944.2,171.19,176.476,-55.6219,-30.7117
31944.3,171.19,175.776,-55.6219,-34.4166
31944.3,167.359,174.969,-66.2613,-38.0551
31944.4,167.359,174.154,-66.2613,-41.6083
31944.4,167.359,173.287,-66.2613,-45.299
31944.4,162.869,172.267,-76.64,-48.9636
31944.5,162.869,171.265,-76.64,-52.4622
31944.5,162.869,170.174,-76.64,-56.1268
31944.6,157.735,168.947,-86.7153,-59.6729
31944.6,157.735,167.748,-86.7153,-63.1573
31944.7,157.735,166.448,-86.7153,-66.7733
31944.9,151.979,164.993,-96.448,-70.2779
31944.8,151.979,163.575,-96.448,-73.6901
31944.8,151.979,162.099,-96.448,-77.2053
31944.9,151.979,160.49,-96.448,-80.6044
31944.9,145.623,158.887,-105.8,-83.648
31945,145.623,157.451,-105.8,-86.3716
31945.1,145.623,156.076,-105.8,-89.184
31945.1,138.692,154.564,-114.735,-92.0687
31945.2,138.692,152.961,-114.735,-94.9487
31945.3,138.692,151.186,-114.735,-98.003
31945.3,131.214,149.267,-123.218,-100.972
31945.4,131.214,147.36,-123.218,-103.887
31945.5,131.214,145.364,-123.218,-106.937
31945.5,123.218,143.172,-131.214,-109.876
31945.9,123.218,141.024,-131.214,-112.711
31945.7,123.218,138.821,-131.214,-115.678
31945.8,114.736,136.458,-138.692,-118.556
31945.8,114.736,134.121,-138.692,-121.279
31945.9,114.736,131.737,-138.692,-124.122
31945.9,105.801,129.2,-145.623,-126.836
31945.9,105.801,126.689,-145.623,-129.421
31946.1,105.801,124.14,-145.623,-132.121
31946.1,96.4484,121.441,-151.979,-134.69
31946.2,96.4484,118.79,-151.979,-137.108
31946.2,96.4484,116.101,-151.979,-139.597
31946.3,86.7154,113.254,-157.735,-141.957
31946.2,86.7154,110.474,-157.735,-144.165
31946.3,86.7154,107.585,-157.735,-146.481
31946.4,86.7154,104.576,-157.735,-148.676
31946.5,76.6403,101.672,-162.868,-150.436
31946.5,76.6403,98.9128,-162.868,-151.979
31946.6,76.6403,96.2404,-162.868,-153.577
31946.6,66.2618,93.4668,-167.359,-155.284
31946.7,66.2618,90.6695,-167.359,-157.037
31946.7,66.2618,87.8113,-167.359,-158.895
31946.7,55.6229,84.7925,-171.189,-160.57
31946.8,55.6229,81.7944,-171.189,-162.027
31946.8,55.6229,78.7124,-171.189,-163.518
31946.9,44.7638,75.5034,-174.344,-165.006
31946.9,44.7638,72.3304,-174.344,-166.419
31947,44.7638,69.0633,-174.344,-167.911
31947,33.7283,65.7274,-176.811,-169.186
31947,33.7283,62.3865,-176.811,-170.315
31947.1,33.7283,59.0205,-176.811,-171.539
31947.1,22.5594,55.5117,-178.58,-172.585
31947.2,22.5594,52.1163,-178.58,-173.48
31947.2,22.5594,48.6032,-178.58,-174.451
31947.3,11.3016,45.0235,-179.644,-175.257
31947.3,11.3016,41.4997,-179.644,-175.998
31947.4,11.3016,37.917,-179.644,-176.76
31948.1,11.3016,34.2634,-179.644,-177.329
31947.5,0,30.7202,-180,-177.746
31947.5,0,27.3628,-180,-178.152
31947.6,0,24.08,-180,-178.503
31947.6,-11.3016,20.7032,-179.644,-178.803
31947.7,-11.3016,17.3795,-179.644,-178.95
31947.7,-11.3016,14.0436,-179.644,-179.049
31947.7,-22.5594,10.5212,-178.58,-179.147
31947.8,-22.5594,7.10573,-178.58,-179.154
31947.8,-22.5594,3.62279,-178.58,-179.119
31947.8,-33.7283,0.0308414,-176.811,-179.061
31947.9,-33.7283,-3.52884,-176.811,-178.918
31947.9,-33.7283,-7.09497,-176.811,-178.592
31948,-44.7638,-10.7457,-174.344,-178.244
31948,-44.7638,-14.3219,-174.344,-177.852
31948.1,-44.7638,-17.9497,-174.344,-177.18
31948,-55.6229,-21.6693,-171.189,-176.562
31948.1,-55.6229,-25.3022,-171.189,-176.057
31948.2,-55.6229,-28.9364,-171.189,-175.3
31948.2,-66.2618,-32.6762,-167.359,-174.456
31948.2,-66.2618,-36.266,-167.359,-173.698
31948.3,-66.2618,-39.9741,-167.359,-172.703
31948.3,-76.6403,-43.6335,-162.868,-171.56
31948.3,-76.6403,-47.2362,-162.868,-170.502
31948.4,-76.6403,-50.8719,-162.868,-169.225
31948.4,-76.6403,-54.5463,-162.868,-167.956
31948.4,-86.7154,-58.0271,-157.735,-166.946
31948.8,-86.7154,-61.3386,-157.735,-166.067
31948.9,-86.7154,-64.5225,-157.735,-164.962
31948.6,-96.4484,-67.778,-151.979,-163.623
31948.7,-96.4484,-70.9052,-151.979,-162.161
31948.7,-96.4484,-74.1084,-151.979,-160.473
31948.7,-105.801,-77.3288,-145.623,-158.824
31948.7,-105.801,-80.5127,-145.623,-157.217
31948.8,-105.801,-83.6908,-145.623,-155.4
31948.8,-114.736,-86.9377,-138.692,-153.556
31948.8,-114.736,-90.118,-138.692,-151.695
31948.9,-114.736,-93.2717,-138.692,-149.651
31948.9,-123.218,-96.4792,-131.214,-147.58
31949,-123.218,-99.5418,-131.214,-145.607
