Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
31942.9,10.7589,105.801,126.786,-145.623,-129.093
31943,10.7589,105.801,124.501,-145.623,-131.057
31943.1,10.7589,105.801,122.253,-145.623,-133.028
31943.1,10.7394,96.4484,119.888,-151.979,-135.118
31943.3,10.7394,96.4484,117.509,-151.979,-137.429
31943.4,10.7394,96.4484,115.019,-151.979,-139.878
31943.4,10.7762,86.7154,112.359,-157.735,-142.18
31943.4,10.7762,86.7154,109.717,-157.735,-144.346
31943.5,10.7762,86.7154,106.952,-157.735,-146.612
31943.5,10.7639,76.6403,104.06,-162.868,-148.786
31943.6,10.7639,76.6403,101.219,-162.868,-150.757
31943.6,10.7639,76.6403,98.2845,-162.868,-152.862
31943.7,10.7517,66.2618,95.2176,-167.359,-154.872
31943.7,10.7517,66.2618,92.1944,-167.359,-156.638
31943.8,10.7517,66.2618,89.1067,-167.359,-158.53
31943.9,10.7397,55.6229,85.9121,-171.189,-160.27
31944.2,10.7397,55.6229,82.7325,-171.189,-161.868
31944,10.7397,55.6229,79.52,-171.189,-163.516
31943.9,10.7347,44.7638,76.1633,-174.344,-165.028
31944.3,10.7347,44.7638,72.8647,-174.344,-166.332
31944,10.7347,44.7638,69.5008,-174.344,-167.748
31944,10.723,33.7283,66.0552,-176.811,-169.049
31944.1,10.723,33.7283,62.654,-176.811,-170.203
31944.2,10.723,33.7283,59.2012,-176.811,-171.454
31944.3,10.723,33.7283,55.6631,-176.811,-172.499
31944.3,10.698,22.5594,52.2504,-178.58,-173.276
31944.8,10.698,22.5594,49.0221,-178.58,-174.03
31944.5,10.698,22.5594,45.8713,-178.58,-174.927
31944.6,10.6867,11.3016,42.6422,-179.644,-175.656
31944.6,10.6867,11.3016,39.4089,-179.644,-176.339
31944.6,10.6867,11.3016,36.1447,-179.644,-177.069
31944.6,10.6755,0,32.7271,-180,-177.535
31944.8,10.6755,0,29.3804,-180,-177.98
31944.7,10.6755,0,25.9448,-180,-178.362
31944.9,10.6842,-11.3016,22.4095,-179.644,-178.69
